trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1360020,495,3,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
1487020,495,3,"Jason Hargrove Transit Center",,0,25012,shp-495-51,1,1
2518020,495,3,"Jason Hargrove Transit Center",,0,24992,shp-495-51,1,1
1832070,495,2,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
1859010,495,1,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
2256020,495,3,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
2549020,495,3,"Jason Hargrove Transit Center",,0,24992,shp-495-51,1,1
2006070,495,2,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
1645010,495,1,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
2803070,495,2,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
2428020,495,3,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
24070,495,2,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
2568020,495,3,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
2425020,495,3,"Oakland Mall",,1,24962,shp-495-01,1,1
200070,495,2,"Oakland Mall",,1,24952,shp-495-01,1,1
2486020,495,3,"Oakland Mall",,1,24972,shp-495-01,1,1
2578020,495,3,"Oakland Mall",,1,24952,shp-495-01,1,1
1711070,495,2,"Oakland Mall",,1,24962,shp-495-01,1,1
2626070,495,2,"Oakland Mall",,1,24962,shp-495-01,1,1
1470020,495,3,"Oakland Mall",,1,24992,shp-495-01,1,1
1186010,495,1,"Oakland Mall",,1,24952,shp-495-01,1,1
1000020,495,3,"Oakland Mall",,1,24962,shp-495-01,1,1
1241020,495,3,"Oakland Mall",,1,24942,shp-495-01,1,1
1798010,495,1,"Oakland Mall",,1,24952,shp-495-01,1,1
1821020,495,3,"Oakland Mall",,1,24972,shp-495-01,1,1
1678070,495,2,"Oakland Mall",,1,24952,shp-495-01,1,1
1973070,495,2,"Oakland Mall",,1,24952,shp-495-01,1,1
2070020,495,3,"Oakland Mall",,1,25012,shp-495-01,1,1
3199020,495,3,"Oakland Mall",,1,24962,shp-495-01,1,1
3274020,495,3,"Oakland Mall",,1,25012,shp-495-01,1,1
