trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
1802020,160,3,"Trenton",,0,11611,shp-160-54,1,1,1161
3205070,160,2,"Trenton",,0,11611,shp-160-54,1,1,1161
3427020,160,3,"Trenton",,0,11621,shp-160-54,1,1,1162
2517070,160,2,"Trenton",,0,11621,shp-160-54,1,1,1162
2235020,160,3,"Trenton",,0,11631,shp-160-54,1,1,1163
1702020,160,3,"Trenton",,0,11641,shp-160-54,1,1,1164
473020,160,3,"Trenton",,0,11601,shp-160-54,1,1,1160
3209020,160,3,"Trenton",,0,11601,shp-160-54,1,1,1160
357070,160,2,"Trenton",,0,11601,shp-160-54,1,1,1160
1905020,160,3,"Trenton",,0,11621,shp-160-54,1,1,1162
2325070,160,2,"Trenton",,0,11611,shp-160-54,1,1,1161
2821070,160,2,"Trenton",,0,11611,shp-160-54,1,1,1161
2290020,160,3,"Trenton",,0,11651,shp-160-54,1,1,1165
1305020,160,3,"Trenton",,0,11641,shp-160-54,1,1,1164
2433020,160,3,"Trenton",,0,11611,shp-160-54,1,1,1161
768070,200,2,"Fairlane",,1,12011,shp-200-56,1,1,1201
1799010,200,1,"Fairlane",,1,12031,shp-200-56,1,1,1203
444010,200,1,"Fairlane",,1,12001,shp-200-56,1,1,1200
1394020,200,3,"Fairlane",,1,12011,shp-200-56,1,1,1201
918020,200,3,"Fairlane",,1,12001,shp-200-56,1,1,1200
3387070,200,2,"Fairlane",,1,12011,shp-200-56,1,1,1201
1511070,200,2,"Fairlane",,1,12031,shp-200-56,1,1,1203
728020,200,3,"Fairlane",,1,12051,shp-200-56,1,1,1205
3243020,200,3,"Fairlane",,1,12051,shp-200-56,1,1,1205
1422070,200,2,"Fairlane",,1,12031,shp-200-56,1,1,1203
3235010,200,1,"Fairlane",,1,12001,shp-200-56,1,1,1200
746070,200,2,"Fairlane",,1,12031,shp-200-56,1,1,1203
1666070,200,2,"Fairlane",,1,12011,shp-200-56,1,1,1201
2018020,200,3,"Fairlane",,1,12021,shp-200-56,1,1,1202
2818020,200,3,"Fairlane",,1,12011,shp-200-56,1,1,1201
2233010,200,1,"Fairlane",,1,12001,shp-200-56,1,1,1200
2578010,200,1,"Fairlane",,1,12031,shp-200-56,1,1,1203
2087020,200,3,"Fairlane",,1,12001,shp-200-56,1,1,1200
2962020,200,3,"Fairlane",,1,12021,shp-200-56,1,1,1202
2299020,200,3,"Fairlane",,1,12061,shp-200-56,1,1,1206
1251020,200,3,"Fairlane",,1,12061,shp-200-56,1,1,1206
2586070,200,2,"Fairlane",,1,12031,shp-200-56,1,1,1203
1694010,200,1,"Fairlane",,1,12031,shp-200-56,1,1,1203
488020,200,3,"Fairlane",,1,12071,shp-200-56,1,1,1207
2042070,200,2,"Fairlane",,1,12011,shp-200-56,1,1,1201
3381010,200,1,"Fairlane",,1,12031,shp-200-56,1,1,1203
199010,200,1,"Fairlane",,1,12001,shp-200-56,1,1,1200
190070,200,2,"Fairlane",,1,12011,shp-200-56,1,1,1201
289020,200,3,"Fairlane",,1,12071,shp-200-56,1,1,1207
2440010,200,1,"Fairlane",,1,12001,shp-200-56,1,1,1200
738070,200,2,"John Hix",,0,12011,shp-200-03,1,1,1201
910070,200,2,"John Hix",,0,12031,shp-200-03,1,1,1203
795070,200,2,"John Hix",,0,12011,shp-200-03,1,1,1201
1647070,200,2,"John Hix",,0,12031,shp-200-03,1,1,1203
2370070,200,2,"John Hix",,0,12011,shp-200-03,1,1,1201
899020,200,3,"John Hix",,0,12011,shp-200-13,1,1,1201
3210010,200,1,"John Hix",,0,12031,shp-200-03,1,1,1203
3447010,200,1,"John Hix",,0,12031,shp-200-03,1,1,1203
1707010,200,1,"John Hix",,0,12001,shp-200-13,1,1,1200
3154070,200,2,"John Hix",,0,12031,shp-200-03,1,1,1203
3463070,200,2,"John Hix",,0,12011,shp-200-03,1,1,1201
2329020,200,3,"John Hix",,0,12001,shp-200-03,1,1,1200
3223020,200,3,"John Hix",,0,12021,shp-200-03,1,1,1202
167070,200,2,"John Hix",,0,12011,shp-200-13,1,1,1201
2023020,200,3,"John Hix",,0,12061,shp-200-03,1,1,1206
1400070,200,2,"John Hix",,0,12031,shp-200-03,1,1,1203
810020,200,3,"John Hix",,0,12051,shp-200-03,1,1,1205
1030020,200,3,"John Hix",,0,12051,shp-200-03,1,1,1205
35020,200,3,"John Hix",,0,12001,shp-200-03,1,1,1200
2902010,200,1,"John Hix",,0,12031,shp-200-03,1,1,1203
1297020,200,3,"John Hix",,0,12021,shp-200-03,1,1,1202
334020,200,3,"John Hix",,0,12071,shp-200-03,1,1,1207
2689010,200,1,"John Hix",,0,12031,shp-200-03,1,1,1203
2769020,200,3,"John Hix",,0,12031,shp-200-03,1,1,1203
2230020,200,3,"John Hix",,0,12071,shp-200-03,1,1,1207
2717010,200,1,"John Hix",,0,12031,shp-200-03,1,1,1203
2498010,200,1,"John Hix",,0,12001,shp-200-03,1,1,1200
1925020,200,3,"John Hix",,0,12061,shp-200-03,1,1,1206
1155010,200,1,"John Hix",,0,12001,shp-200-03,1,1,1200
3069010,200,1,"John Hix",,0,12001,shp-200-03,1,1,1200
1014010,200,1,"John Hix",,0,12001,shp-200-03,1,1,1200
1848020,200,3,"John Hix",,0,12011,shp-200-03,1,1,1201
1038070,200,2,"John Hix",,0,12031,shp-200-03,1,1,1203
2070,210,2,"Fairlane",,1,12001,shp-210-01,1,1,1200
3538020,210,3,"Fairlane",,1,12071,shp-210-01,1,1,1207
470020,210,3,"Fairlane",,1,12001,shp-210-01,1,1,1200
1191020,210,3,"Fairlane",,1,12021,shp-210-01,1,1,1202
3389070,210,2,"Fairlane",,1,11981,shp-210-01,1,1,1198
3125010,210,1,"Fairlane",,1,12011,shp-210-01,1,1,1201
1863020,210,3,"Fairlane",,1,12061,shp-210-01,1,1,1206
480070,210,2,"Fairlane",,1,12001,shp-210-01,1,1,1200
1142070,210,2,"Fairlane",,1,12001,shp-210-01,1,1,1200
3286020,210,3,"Fairlane",,1,12001,shp-210-01,1,1,1200
1005020,210,3,"Fairlane",,1,12071,shp-210-01,1,1,1207
360020,210,3,"Fairlane",,1,12021,shp-210-01,1,1,1202
618070,210,2,"Fairlane",,1,12021,shp-210-01,1,1,1202
173010,210,1,"Fairlane",,1,12011,shp-210-01,1,1,1201
2136020,210,3,"Fairlane",,1,12051,shp-210-01,1,1,1205
2691020,210,3,"Fairlane",,1,12051,shp-210-01,1,1,1205
1857010,210,1,"Fairlane",,1,12011,shp-210-01,1,1,1201
3350070,210,2,"Fairlane",,1,12021,shp-210-01,1,1,1202
2949070,210,2,"Fairlane",,1,12021,shp-210-01,1,1,1202
2064020,210,3,"Fairlane",,1,12011,shp-210-01,1,1,1201
2249020,210,3,"Fairlane",,1,12011,shp-210-01,1,1,1201
2805070,210,2,"Fairlane",,1,12001,shp-210-01,1,1,1200
3460010,210,1,"Fairlane",,1,12021,shp-210-01,1,1,1202
1856070,210,2,"Fairlane",,1,11991,shp-210-01,1,1,1199
1549010,210,1,"Fairlane",,1,12021,shp-210-01,1,1,1202
446020,210,3,"Fairlane",,1,12031,shp-210-01,1,1,1203
2297010,210,1,"Fairlane",,1,12021,shp-210-01,1,1,1202
1130010,210,1,"Fairlane",,1,12011,shp-210-01,1,1,1201
404010,210,1,"Fairlane",,1,12021,shp-210-01,1,1,1202
665010,210,1,"Fairlane",,1,12011,shp-210-01,1,1,1201
908020,210,3,"Fairlane",,1,12021,shp-210-01,1,1,1202
644020,210,3,"Schaefer",,1,12051,shp-210-02,1,1,1205
1754020,210,3,"Schaefer",,1,12071,shp-210-02,1,1,1207
1921070,210,2,"Schaefer",,1,12021,shp-210-02,1,1,1202
2359020,210,3,"Westland",,0,12061,shp-210-51,1,1,1206
1632070,210,2,"Westland",,0,11981,shp-210-51,1,1,1198
2366020,210,3,"Westland",,0,12051,shp-210-51,1,1,1205
1833020,210,3,"Westland",,0,12001,shp-210-51,1,1,1200
2309020,210,3,"Westland",,0,12021,shp-210-51,1,1,1202
982070,210,2,"Westland",,0,12001,shp-210-51,1,1,1200
1733010,210,1,"Westland",,0,12011,shp-210-51,1,1,1201
1082070,210,2,"Westland",,0,11981,shp-210-52,1,1,1198
2114010,210,1,"Westland",,0,12021,shp-210-51,1,1,1202
3040010,210,1,"Westland",,0,12021,shp-210-51,1,1,1202
2143020,210,3,"Westland",,0,12011,shp-210-51,1,1,1201
1780070,210,2,"Westland",,0,12021,shp-210-51,1,1,1202
1119010,210,1,"Westland",,0,12021,shp-210-51,1,1,1202
3151020,210,3,"Westland",,0,12041,shp-210-51,1,1,1204
1768010,210,1,"Westland",,0,12021,shp-210-51,1,1,1202
3180020,210,3,"Westland",,0,12071,shp-210-51,1,1,1207
1945020,210,3,"Westland",,0,12051,shp-210-51,1,1,1205
721010,210,1,"Westland",,0,12021,shp-210-51,1,1,1202
179020,210,3,"Westland",,0,12061,shp-210-51,1,1,1206
576070,210,2,"Westland",,0,11991,shp-210-51,1,1,1199
1793070,210,2,"Westland",,0,12021,shp-210-51,1,1,1202
3352070,210,2,"Westland",,0,11991,shp-210-51,1,1,1199
2851070,210,2,"Westland",,0,12021,shp-210-51,1,1,1202
3076010,210,1,"Westland",,0,12011,shp-210-51,1,1,1201
1459020,210,3,"Westland",,0,12021,shp-210-51,1,1,1202
