stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2414,19250,8 Mile & Chry Freeway,,42.447215,-83.092748,,,,,,0
2415,19255,8 Mile & Highland,,42.447278,-83.100250,,,,,,0
2416,796,8 Mile & John R,,42.447397,-83.103333,,,,,,0
2417,23614,8 Mile & Ford,,42.447310,-83.106815,,,,,,0
2424,822,John R & 8 Mile NE,,42.447620,-83.102793,,,,,,0
2426,19242,John R & E Bernhard,,42.450775,-83.103000,,,,,,0
2428,19244,John R & Meyers,,42.454907,-83.103318,,,,,,0
2429,19245,John R & Harry,,42.456585,-83.103462,,,,,,0
2430,10876,John R & I-75,,42.460217,-83.103747,,,,,,0
2431,823,John R & 9 Mile,,42.461917,-83.103842,,,,,,0
2432,19246,John R & Hazelcrest,,42.464230,-83.103970,,,,,,0
2433,19247,John R & Tucker,,42.466605,-83.104065,,,,,,0
2434,19248,John R & Woodward Hts,,42.469173,-83.104160,,,,,,0
2435,19249,John R & Mapledale,,42.472908,-83.104335,,,,,,0
2436,23265,John R & Brickley,,42.474975,-83.104478,,,,,,0
2437,824,John R & 10 Mile,,42.477852,-83.104668,,,,,,0
2438,19727,John R & Barrett,,42.479362,-83.104733,,,,,,0
2439,19728,John R & Hudson,,42.481380,-83.104812,,,,,,0
2440,19729,John R & Lincoln,,42.483803,-83.104907,,,,,,0
2441,19730,John R & Cowan,,42.485982,-83.104972,,,,,,0
2442,19731,John R & Andover,,42.487197,-83.105018,,,,,,0
2443,30,John R & 11 Mile,,42.491425,-83.105193,,,,,,0
2444,19733,John R & University,,42.493308,-83.105242,,,,,,0
2445,19734,John R & Farnum,,42.495852,-83.105368,,,,,,0
2446,19735,John R & Gardenia,,42.498418,-83.105463,,,,,,0
2447,19736,John R & Parker,,42.500677,-83.105527,,,,,,0
2448,19737,John R & Katherine,,42.502805,-83.105558,,,,,,0
2449,825,John R & 12 Mile,,42.505173,-83.105670,,,,,,0
2450,19738,John R & Madison Heights Senior Center,,42.508528,-83.105750,,,,,,0
2451,19739,John R & Girard,,42.513217,-83.105988,,,,,,0
2452,19740,John R & Woodside,,42.515617,-83.106083,,,,,,0
2453,19741,John R & La Salle,,42.517882,-83.106178,,,,,,0
2454,19749,John R & 13 Mile NE,,42.521068,-83.106338,,,,,,0
2455,19742,John R & Irving,,42.522880,-83.106417,,,,,,0
2456,19743,John R & Edmund,,42.525242,-83.106513,,,,,,0
2457,19744,John R & Whitcomb,,42.527657,-83.106623,,,,,,0
2458,11569,John R & Losee,,42.529198,-83.106688,,,,,,0
2459,11570,John R & Mandoline,,42.532250,-83.106815,,,,,,0
2460,21331,John R & 14 Mile,,42.534873,-83.106927,,,,,,0
2461,21332,John R & Sears,,42.536598,-83.106878,,,,,,0
2462,1627,Oakland Mall,,42.537739,-83.110218,,,,,,0
2463,11819,Chicago & Iac,,42.541858,-83.113507,,,,,,0
2464,11820,Chicago & Techonolgy,,42.543003,-83.113538,,,,,,0
2465,21352,Chicago & Meteor Photo,,42.545228,-83.113585,,,,,,0
2466,23191,Maple & Research Drive,,42.549083,-83.117845,,,,,,0
2467,23183,Itt Troy,,42.563253,-83.117242,,,,,,0
2468,21324,John R @ Sears NW,,42.537193,-83.107292,,,,,,0
2469,19716,John R & 14 Mile,,42.533427,-83.107100,,,,,,0
2470,10331,John R & Madison Place,,42.530390,-83.106973,,,,,,0
2471,10332,John R & Whitcomb,,42.528277,-83.106878,,,,,,0
2472,19745,John R & Whitcomb SW,,42.526925,-83.106847,,,,,,0
2473,19711,John R & Edmund,,42.524487,-83.106735,,,,,,0
2475,19746,John R & 13 Mile NW,,42.521140,-83.106592,,,,,,0
2476,11567,John R & 13 Mile SW,,42.519518,-83.106513,,,,,,0
2477,19713,John R & La Salle,,42.517230,-83.106417,,,,,,0
2478,19714,John R & Woodside,,42.514902,-83.106307,,,,,,0
2479,19715,John R & Girard,,42.512470,-83.106210,,,,,,0
2480,11568,John R & Dartmouth,,42.508273,-83.106037,,,,,,0
2482,1695,John R & 12 Mile,,42.504062,-83.105830,,,,,,0
2483,19718,John R & Katherine,,42.502417,-83.105782,,,,,,0
2484,19719,John R & Parker,,42.500207,-83.105750,,,,,,0
2485,19747,John R & Gardenia,,42.497545,-83.105670,,,,,,0
2486,19720,John R & Farnum,,42.495303,-83.105558,,,,,,0
2487,19721,John R & University,,42.492475,-83.105400,,,,,,0
2488,1696,John R & 11 Mile,,42.490345,-83.105320,,,,,,0
2489,19723,John R & Andover,,42.487380,-83.105225,,,,,,0
2490,10334,John R & Cowan,,42.485488,-83.105193,,,,,,0
2491,19724,John R & Lincoln,,42.482873,-83.105082,,,,,,0
2492,19725,John R & Hudson,,42.480918,-83.105018,,,,,,0
2493,19726,John R & Barrett,,42.478860,-83.104907,,,,,,0
2494,1697,John R & 10 Mile,,42.475515,-83.104700,,,,,,0
2495,11517,John R & Coy,,42.474100,-83.104605,,,,,,0
2496,11518,John R & Garfield,,42.471795,-83.104478,,,,,,0
2497,19232,John R & Moorehouse,,42.469865,-83.104398,,,,,,0
2498,10875,John R & Woodward Hgts,,42.468402,-83.104335,,,,,,0
2499,19233,John R & Sonoma,,42.465502,-83.104177,,,,,,0
2500,10870,John R & Hazelcrest,,42.464078,-83.104128,,,,,,0
2501,1698,John R & 9 Mile,,42.462005,-83.104128,,,,,,0
2502,10276,John R & I-75,,42.460320,-83.103970,,,,,,0
2503,19234,John R & Robert,,42.458047,-83.103747,,,,,,0
2504,19235,John R & Harry,,42.456307,-83.103557,,,,,,0
2505,19236,John R & Meyers,,42.454223,-83.103397,,,,,,0
2507,19238,John R & Bernhard,,42.450752,-83.103158,,,,,,0
2509,10277,John R & George,,42.448318,-83.103000,,,,,,0
2515,21329,John R & Maple,,42.548567,-83.107785,,,,,,0
2516,23404,John R @ Grand Haven,,42.543543,-83.107513,,,,,,0
2517,23300,Bel Air Shopping Center,,42.448203,-83.018705,,,,,,1
2518,840,Van Dyke & 8 Mile,,42.448970,-83.024703,,,,,,0
2519,11845,Van Dyke & Westminister,,42.452770,-83.025562,,,,,,0
2521,21480,Van Dyke & Toepfer,,42.456028,-83.026213,,,,,,0
2523,21482,Van Dyke & Hupp,,42.459732,-83.026403,,,,,,0
2525,841,Van Dyke & 9 Mile,,42.463895,-83.026563,,,,,,0
2526,21485,Van Dyke & Lozier,,42.466573,-83.026707,,,,,,0
2528,11846,Van Dyke & Stephens,,42.470038,-83.026802,,,,,,0
2531,12198,Van Dyke & Edward,,42.475578,-83.027023,,,,,,0
2532,12185,Van Dyke & 10 Mile,,42.477892,-83.027072,,,,,,0
2533,12186,Van Dyke & Engleman,,42.481030,-83.027198,,,,,,0
2535,12200,Van Dyke & Busch,,42.485028,-83.027342,,,,,,0
2537,12203,Van Dyke & Menge,,42.489700,-83.027548,,,,,,0
2538,11840,Van Dyke & 11 Mile,,42.492553,-83.027628,,,,,,0
2539,21487,Van Dyke & Garbor,,42.495613,-83.027787,,,,,,0
2540,21800,Van Dyke & Farnum,,42.497043,-83.027835,,,,,,0
2541,21488,Van Dyke & Martin,,42.499412,-83.027882,,,,,,0
2542,22223,Van Dyke & Francine,,42.501082,-83.027978,,,,,,0
2543,21801,Van Dyke & Gerald,,42.503553,-83.028073,,,,,,0
2544,21489,Van Dyke & Marian,,42.505110,-83.028137,,,,,,0
2545,842,Van Dyke & 12 Mile,,42.507558,-83.028137,,,,,,0
2546,11229,Van Dyke & Kennedy Circle South,,42.510633,-83.028343,,,,,,0
2547,22950,Van Dyke & Civic Center South,,42.512557,-83.028438,,,,,,0
2548,22951,Van Dyke & Civic Center North,,42.515680,-83.028550,,,,,,0
2549,11223,Van Dyke & Kennedy Circle North,,42.517730,-83.028630,,,,,,0
2550,11847,Van Dyke & Old 13 Mile NE,,42.521585,-83.028740,,,,,,0
2551,11848,Van Dyke & Chicago,,42.523118,-83.028788,,,,,,0
2552,21491,Van Dyke & Masonic,,42.527697,-83.028947,,,,,,0
2553,21492,Van Dyke & Jenny,,42.531687,-83.029090,,,,,,0
2555,21494,Van Dyke & 14 Mile,,42.535612,-83.029138,,,,,,0
2556,23187,Van Dyke Walmart,,42.539728,-83.028932,,,,,,0
2557,20986,Van Dyke & Denwood,,42.541747,-83.028725,,,,,,0
2558,10488,Van Dyke & Crestview,,42.543735,-83.028470,,,,,,0
